#GeneSymbol	Categories
S100P	core
FOSL1	core
CXCL3	core
PF4	core
CELF1	core
PRRC2C	core
MYLIP	core
THBS1	core
TCF4	core
MMP9	core
GTF3C1	core
EZR	core
CD6	core
DKC1	core
CXCL1	core
ILF3	core
SERPINB2	core
SNRNP70	core
FCF1	core
CSNK2A1	core
CXCL5	core
ITGA2B	core
EGR1	core
SPARC	core
THBD	core
CABP5	core
KLF6	core
SRSF10	core
DDX18	core
SART3	core
HNRNPH1	core
SDC2	core
FOSB	core
MYCBP2	core
SNCA	core
CXCL2	core
EWSR1	core
CXCR1	core
ITGB3	core
GNL3L	periphery
ELOVL4	periphery
ZGPAT	periphery
FSCN1	periphery
MRPL35	periphery
NR4A1	periphery
SLC29A1	periphery
DERL1	periphery
POGLUT1	periphery
TNFRSF1B	periphery
MAZ	periphery
ENO3	periphery
FAM115A	periphery
PIAS2	periphery
HIST1H1E	periphery
HSPG2	periphery
PDCD5	periphery
JUP	periphery
AP3D1	periphery
CCDC93	periphery
DNASE1L2	periphery
GRAP2	periphery
FN1	periphery
PRKDC	periphery
EHMT2	periphery
S1PR5	periphery
NKX2-5	periphery
NFATC2IP	periphery
MRPL17	periphery
MUSK	periphery
CCT2	periphery
HIST1H2AG	periphery
C16orf58	periphery
TNIK	periphery
MARS	periphery
DDX11	periphery
RAP1A	periphery
NSMCE4A	periphery
FOSL2	periphery
NUP93	periphery
RBBP5	periphery
ACSL1	periphery
DDX39A	periphery
GADD45G	periphery
MAFB	periphery
CD160	periphery
RORA	periphery
DPYSL3	periphery
DNAJC10	periphery
MKRN2	periphery
SIRPA	periphery
COLQ	periphery
RBM19	periphery
BTNL8	periphery
MCF2	periphery
AHNAK	periphery
MARK2	periphery
KTN1	periphery
CIDEA	periphery
RUFY3	periphery
TTLL1	periphery
AKAP1	periphery
TTC3	periphery
TROVE2	periphery
EPOR	periphery
VPRBP	periphery
MSH6	periphery
PLSCR1	periphery
KIR3DL2	periphery
FKBP1B	periphery
BLZF1	periphery
MAF	periphery
SNRNP35	periphery
SETD4	periphery
RRP15	periphery
ANGPTL4	periphery
ABT1	periphery
RNF170	periphery
KBTBD4	periphery
PAX5	periphery
EN1	periphery
MEIS1	periphery
TNFRSF10C	periphery
ELANE	periphery
PRKAA1	periphery
LAPTM4B	periphery
ASPSCR1	periphery
QTRT1	periphery
CCR1	periphery
HSP90B1	periphery
CD320	periphery
AKT2	periphery
RIT2	periphery
NCLN	periphery
COPE	periphery
SBF1	periphery
CRMP1	periphery
SPRY2	periphery
PRSS1	periphery
LAS1L	periphery
IL7R	periphery
SRSF7	periphery
CDKN1C	periphery
ROCK2	periphery
CSF2RA	periphery
RASGRP2	periphery
DYSF	periphery
TOR1AIP1	periphery
TAL1	periphery
SELENBP1	periphery
PLAUR	periphery
IL13RA2	periphery
NAMPT	periphery
MUM1	periphery
ERBB2	periphery
SUZ12	periphery
PDLIM7	periphery
PBXIP1	periphery
GNG11	periphery
SRRT	periphery
COX5B	periphery
RPL10	periphery
TMF1	periphery
CALU	periphery
MAPK7	periphery
SRSF11	periphery
ATP5C1	periphery
RABGAP1	periphery
HIST1H2BF	periphery
PPIF	periphery
BCKDHB	periphery
PARP2	periphery
CELSR1	periphery
UBE2B	periphery
NFATC4	periphery
DUT	periphery
LIMD1	periphery
FAM98A	periphery
SMC3	periphery
YES1	periphery
RSL1D1	periphery
TAF1C	periphery
AGAP1	periphery
IL1R1	periphery
TPR	periphery
F13A1	periphery
NEU3	periphery
AMFR	periphery
