#Gene	P.Value	logFC
HIST1H2AC	2.27E-22	-1.2702003
HIST1H2BK	8.51E-21	-1.1358806
PGRMC1	4.24E-20	-0.9314937
SERPINB2	7.73E-20	-3.5004774
HIST2H2BE	9.48E-20	-1.292234
MMD	1.25E-17	-0.8884094
BASP1	3.64E-17	-1.5006565
TMEM158	5.70E-17	-2.114869
HIST1H2BD	6.27E-17	-0.7551666
APP	8.33E-17	-0.8361413
MLH3	1.18E-16	-1.3431164
SPARC	1.20E-16	-1.4292396
SOD2	2.16E-16	-1.3030558
PRKAR2B	2.26E-16	-1.2429726
PF4	2.70E-16	-1.2741327
HIST1H3H	4.72E-16	-1.5741622
TMEM140	7.44E-16	-0.9612877
CXCL5	1.12E-15	-1.7356482
PGRMC1	2.00E-15	-1.314116
NGFRAP1	2.48E-15	-1.2212178
BLCAP	2.62E-15	0.5084078
MFAP3L	3.27E-15	-1.4185761
ABLIM3	5.07E-15	-2.4477676
GNG11	5.21E-15	-1.3210644
RAB11A	6.38E-15	-0.4626889
FTH1	6.66E-15	-1.0028902
THBS1	7.97E-15	-1.8241849
SLC22A4	8.55E-15	-0.9684762
NCK2	1.14E-14	-0.5442238
SDPR	1.66E-14	-0.9388956
GPX1	1.79E-14	-0.9034111
DKC1	2.57E-14	1.6253875
IFNAR2	3.10E-14	-0.6422087
PDLIM1	3.99E-14	-0.8011295
HCAR3	4.50E-14	-1.7945262
NRGN	4.72E-14	-1.2245583
CALM3	4.75E-14	-0.618355
H2BFS	5.37E-14	-1.001047
RAB31	6.36E-14	-0.7313795
ACTN1	7.21E-14	-0.7926678
PTGS1	7.61E-14	-1.0066033
TMF1	8.92E-14	0.6998538
IL1R1	9.26E-14	-2.1179775
NFATC2IP	1.44E-13	0.6870852
HMGB1	1.50E-13	0.4605404
SYNE1	1.57E-13	0.9457092
NELFCD	1.77E-13	0.5422399
2-Mar	2.00E-13	-1.0577715
CTTN	2.26E-13	-1.0813484
CYP1B1	2.28E-13	-1.9632537
PLAUR	2.56E-13	-1.180375
SNRNP70	2.65E-13	1.7742048
AQP9	2.87E-13	-1.7016386
MAP3K7CL	4.01E-13	-1.2092731
RGS10	4.27E-13	-0.5926405
RNF114	4.30E-13	0.5929451
CHMP3	4.75E-13	-0.4685753
LEPROT	4.84E-13	-0.6214746
RAP1A	4.89E-13	-0.7115515
PHLDA1	5.11E-13	-1.7103592
C5AR1	5.22E-13	-1.2956682
TREM1	5.29E-13	-1.3458876
OGT	5.40E-13	0.8977636
PUM1	5.53E-13	1.0851571
PTCD3	5.54E-13	0.6576327
TBXA2R	5.98E-13	-0.7974696
LEPR	6.31E-13	-0.7815166
GOLGA8H	7.04E-13	0.7128048
SAT1	7.37E-13	-1.132743
MXD4	7.68E-13	1.7913443
ACTR5	9.35E-13	0.7215477
CD247	1.07E-12	1.1161626
SLTM	1.08E-12	0.6020789
DDX1	1.15E-12	0.835708
U2SURP	1.21E-12	0.794056
PTGS1	1.39E-12	-0.9552873
ILKAP	1.54E-12	0.638552
RBM5	1.56E-12	0.6398836
CALD1	1.57E-12	-1.2275196
CTTN	1.92E-12	-1.8548111
SNRNP70	1.96E-12	0.8130241
LIMS1	2.00E-12	-0.9202573
KLRF1	2.11E-12	1.7273161
ANKMY2	2.11E-12	0.5399173
GNB2L1	2.14E-12	0.5994682
RXRA	2.25E-12	-1.1147681
LUC7L	2.37E-12	0.5698306
RNF11	2.41E-12	-0.5693076
F13A1	2.66E-12	-1.0817124
SOD2	2.90E-12	-1.3318746
PPBP	3.01E-12	-0.8403538
ALOX12	3.09E-12	-1.006427
MPL	3.43E-12	-1.4090381
EIF4A1	3.44E-12	1.0854858
ZBED1	3.52E-12	-0.5953612
ELF2	3.57E-12	0.7267412
TPM1	3.72E-12	-0.9913438
CXCL1	3.83E-12	-1.9430396
CA2	4.50E-12	-1.4577364
HNRNPDL	4.76E-12	0.5034777
DYNLRB1	4.93E-12	-0.4952157
GSTO1	4.93E-12	-0.6820534
NOP56	5.12E-12	0.7099601
ARPC5L	5.19E-12	0.5960949
PTPN12	5.83E-12	-0.5632684
CYP1B1	7.85E-12	-1.3573522
SEC24C	8.02E-12	0.6400664
HIST2H2AA4	9.13E-12	-0.7210731
PCSK6	9.47E-12	-1.6861037
CDK5RAP1	9.87E-12	0.7276111
RUFY1	1.00E-11	-0.7071565
