#Gene	P.Value	logFC
NA	5.10E-15	-0.9767165
DLAT	2.15E-13	-0.8220557
GJA5	1.22E-12	-0.7390659
CCDC80	4.59E-12	-0.5987252
CDC42EP3	5.07E-12	-0.763152
SEC31A	6.87E-12	-0.6289806
DPM1	7.02E-12	-0.4783133
PAIP2	9.90E-12	-0.8096419
PHYH	1.02E-11	-0.5649478
CSDE1	1.03E-11	-0.7681929
HTRA1	1.22E-11	-0.9509562
FGF14	1.38E-11	0.5596781
CSDE1	1.59E-11	-0.8397139
NA	1.87E-11	0.5942741
C16orf45	3.26E-11	-0.5362283
IMMT	4.58E-11	-0.4628542
IKZF5	5.37E-11	-0.8316882
SUCLA2	5.78E-11	-0.6587062
NA	5.93E-11	0.5989966
ATP6V1D	7.39E-11	-0.6971048
ZNF83	7.58E-11	-0.7579077
ECHDC1	8.15E-11	-0.6372297
KIFAP3	9.21E-11	-0.5466549
GHITM	9.30E-11	-0.8464417
CPT1B	1.07E-10	-0.9726849
RAB2A	1.37E-10	-0.3820714
NA	1.47E-10	-0.753527
MTURN	1.50E-10	-0.7500591
NA	1.64E-10	-0.5879964
MRPL45	1.73E-10	-0.5578303
ASAH1	1.95E-10	-0.9012495
SMARCE1	2.14E-10	-0.5609518
TRIP12	2.74E-10	-0.46739
SARAF	3.09E-10	-0.587478
HNRNPC	3.25E-10	-0.7443472
CRYM	3.28E-10	-1.1733078
NA	3.52E-10	-1.3875733
ANKMY2	3.89E-10	-0.6470271
PRDX3	3.99E-10	-0.7362958
NA	4.34E-10	-0.6915567
TTC12	4.53E-10	-0.9653564
COX7A2L	4.62E-10	-0.5525127
HDAC9	5.17E-10	0.6274787
ZMYND11	5.19E-10	-0.5579263
FBXO8	5.24E-10	-0.6175765
SUN1	5.64E-10	-0.5693119
SCP2	5.82E-10	-0.5695045
TP53INP2	6.15E-10	-1.0120253
ZNF700	6.24E-10	-0.8379901
NA	6.63E-10	0.5267122
NFE2L2	7.08E-10	-0.6312298
NA	7.24E-10	0.5041487
ZNF567	7.36E-10	-0.640093
ESD	8.00E-10	-0.5346574
DLD	8.05E-10	-1.0176093
RBFA	8.65E-10	0.6115247
HIST1H4E	9.41E-10	-0.8221607
SUN1	9.61E-10	-0.5418183
ANAPC13	9.70E-10	-0.5143003
VDAC3	9.90E-10	-0.922174
MLYCD	1.16E-09	-1.0584485
SKP1	1.18E-09	-0.5887421
EIF4A2	1.21E-09	-0.722927
FH	1.23E-09	-0.7173395
RPL22	1.24E-09	-0.7626047
TOP2B	1.25E-09	-0.740604
RAB28	1.29E-09	-0.3776818
CAT	1.44E-09	-0.4146047
SKP1	1.50E-09	-0.5425247
CTNNA3	1.50E-09	-0.8021479
USO1	1.50E-09	-0.5200006
HNRNPUL2	1.54E-09	-0.523065
DCUN1D5	1.64E-09	-0.7101751
KIF5B	1.72E-09	-0.920543
THSD4	1.92E-09	-0.610055
ZNF23	1.95E-09	-0.7368956
ZNF600	1.97E-09	-0.8517973
ZNF77	1.99E-09	-0.4823013
TAX1BP1	2.00E-09	-0.8330642
MMADHC	2.10E-09	-0.6386201
VTA1	2.11E-09	-0.5403341
DLAT	2.13E-09	-0.7929204
ALDH9A1	2.21E-09	-0.5322837
CCNT2	2.53E-09	0.3317844
LOC284939	2.58E-09	0.5493144
ACAD10	2.78E-09	0.3117656
LDB3	2.99E-09	-0.965379
APLP2	3.23E-09	-0.6056025
EFR3A	3.33E-09	-0.5595585
UBE2O	3.37E-09	-0.6620738
TSPAN11	3.38E-09	-0.6048952
SCHIP1	3.78E-09	-0.7237022
KIAA1191	3.83E-09	-0.5542538
EXT1	4.02E-09	-0.71564
DDX24	4.05E-09	-0.5300402
SETD3	4.52E-09	-0.5662142
NA	4.54E-09	0.2995928
DCTN6	4.58E-09	-0.450826
COPS8	4.72E-09	-0.6351585
