#Gene	P.Value	logFC
SLC30A3	7.05E-41	4.0092984
NRXN3	8.52E-29	3.9122216
PRKD3	4.83E-28	-2.6639418
TOP2A	6.54E-28	-5.7790909
NBPF20	4.60E-27	-1.7968611
SERTM1	1.95E-26	2.9856497
NDC80	3.08E-26	-5.0375609
UHRF1	1.04E-25	-3.8156913
NA	1.47E-25	3.6456667
TSPAN6	1.91E-25	-1.7370187
RASAL1	3.69E-25	2.7806239
LYAR	3.69E-25	-1.7084729
CPNE6	3.78E-25	4.0156022
TOP2A	4.88E-25	-6.3874086
SMAD5	5.48E-25	-1.2608436
NBPF10	1.06E-24	-1.9896506
NOTCH2NL	1.43E-24	-1.9157602
ZBTB20	1.60E-24	-2.4248226
NES	1.78E-24	-2.9503534
F2R	2.03E-24	-3.191878
GSKIP	3.10E-24	1.080073
TSPAN6	3.17E-24	-2.1371262
EIF4EBP1	3.55E-24	-3.0559254
LRP11	3.84E-24	1.7481874
BTG1	3.95E-24	-1.7356018
EZH2	4.22E-24	-2.8609967
OPA1	5.18E-24	1.0103259
CACNA1B	6.35E-24	2.4433226
11-Sep	7.27E-24	2.4905506
MAML2	7.30E-24	-1.8025125
CES4A	8.62E-24	3.6781493
GAMT	9.25E-24	1.7110695
PPP1R14B	1.48E-23	-1.9252067
MAML2	1.53E-23	-1.8824146
PRRX1	1.85E-23	-2.0041646
RRM2	2.04E-23	-4.7471393
MTMR12	3.98E-23	0.9870582
WDR7	4.86E-23	1.8165886
ATAD2	5.44E-23	-2.5155785
C12orf76	6.60E-23	1.3046508
GNB2L1	9.05E-23	-1.4077583
LPGAT1	1.00E-22	1.5152904
SPARC	1.05E-22	-1.5759778
DCTN1	1.22E-22	1.0685662
PTTG1IP	1.37E-22	-1.2835234
ACTR3B	1.62E-22	1.7474467
RP2	1.87E-22	-1.7849901
BCL2L12	2.03E-22	-2.0767589
RPLP0P6	2.05E-22	-1.6454627
SST	2.11E-22	3.5649059
RPL13	2.26E-22	-1.6436128
MELK	2.39E-22	-4.2073886
CYP20A1	2.47E-22	-1.7198532
MAPK9	2.64E-22	1.7777869
TRAF3IP2	2.80E-22	-2.1354576
TM2D3	2.85E-22	0.9969947
NDFIP2	2.91E-22	2.0664618
WEE1	3.38E-22	-2.9459401
NA	3.47E-22	-2.0249317
ABCA1	3.90E-22	-1.8888619
PRRX1	4.09E-22	-1.9704256
CRNDE	4.19E-22	-4.0030515
SNRPG	5.21E-22	-1.2214885
RAB31	5.75E-22	-1.317659
RAB31	6.04E-22	-1.5422486
RHOC	6.41E-22	-1.8638358
THOC2	6.69E-22	-2.0071017
SNRNP200	6.76E-22	-0.9454178
KCNAB1	7.69E-22	2.2370061
RPLP0	8.95E-22	-1.1596971
C16orf70	9.53E-22	0.7199347
SEC61A2	9.82E-22	1.2773129
SYNJ1	1.10E-21	1.660223
MBLAC2	1.30E-21	1.3839233
MAP2K4	1.33E-21	1.4559632
C1orf216	1.36E-21	1.4240326
BTBD10	1.38E-21	1.2510015
ANXA5	1.69E-21	-1.6339243
DYNLT1	1.78E-21	-1.6539235
NA	2.06E-21	2.3705298
ZBTB20	2.23E-21	-1.3915827
NA	2.75E-21	1.809243
HMG20B	2.78E-21	-2.0502565
PSMB8	2.79E-21	-4.0096358
RPLP0	2.84E-21	-1.0846984
CDK17	2.92E-21	0.8859704
YBX1	3.11E-21	-1.693434
NA	3.17E-21	-1.4718595
CD99	3.23E-21	-2.2625214
NA	3.47E-21	2.3403938
PRRT1	3.86E-21	2.3898092
TLN2	3.95E-21	1.7383461
USP12	4.03E-21	1.0275531
ID3	4.27E-21	-3.2576266
NA	4.50E-21	-1.6655855
FABP3	4.58E-21	1.8634485
PTBP1	4.70E-21	-1.6937287
HS3ST4	5.65E-21	2.6814594
DDX59	6.12E-21	-0.9035563
CD99	6.17E-21	-1.762291
PTBP1	6.40E-21	-1.7850537
CPLX3	6.48E-21	1.5386156
GMNN	7.02E-21	-1.5116065
RPLP0	7.21E-21	-1.0554395
KIAA1033	7.35E-21	-1.4088047
PALLD	7.66E-21	-1.7446267
RPLP0	7.85E-21	-1.086735
PCLO	7.86E-21	2.9701064
C5orf30	8.60E-21	1.370175
PTBP1	8.75E-21	-1.8674883
ZBTB20	8.80E-21	-1.6170302
C1orf27	9.09E-21	-1.2339049
PAK1	9.57E-21	2.2045434
ZYG11B	1.00E-20	0.9802803
LPL	1.01E-20	-3.4603977
IQSEC1	1.04E-20	1.7194373
RAB40C	1.05E-20	1.0699111
MAPK9	1.09E-20	1.0060722
TMEM132D	1.14E-20	2.3764558
GOLIM4	1.17E-20	-1.2178019
PTBP1	1.17E-20	-1.7732601
FBXW7	1.21E-20	2.273314
H3F3AP4	1.23E-20	-1.0691836
ABCA1	1.34E-20	-2.0183135
CALM3	1.43E-20	1.3334893
SRGAP1	1.46E-20	-1.7575836
NTN1	1.48E-20	-2.0331296
CCKBR	1.48E-20	2.6349299
PHF14	1.67E-20	-1.3418526
PLEKHM3	1.67E-20	1.4113304
NA	1.71E-20	-1.8447277
INPPL1	1.72E-20	-1.0110921
