#Gene	P.Value	logFC
IGFBP7	4.59E-08	-2.77217383
MAP2K5	2.41E-07	-1.79752611
EGR1	2.70E-06	1.75243662
AGR2	2.88E-06	1.14962815
TGFBI	3.28E-06	-1.17664563
ATP1B1	3.51E-06	-1.55004814
NUCKS1	3.72E-06	-1.30531463
DNAJC15	4.68E-06	-1.07171734
INS-IGF2	7.03E-06	-1.94294116
APOM	8.67E-06	1.08490081
AFP	8.80E-06	1.41072501
APOM	1.07E-05	1.04373593
STMN1	1.14E-05	-1.03408041
FSCN1	1.15E-05	-1.3462475
DLK1	1.31E-05	-2.0137995
RELN	1.35E-05	-1.01843389
ATG12	2.06E-05	-1.19566666
TAX1BP1	2.51E-05	-0.8912829
INS-IGF2	2.76E-05	-1.26828003
KPNA2	2.96E-05	-0.91877405
DEFB1	3.31E-05	-1.29801429
EEF1B2	3.32E-05	0.83299005
SOX9	3.47E-05	-1.69243904
PGC	3.91E-05	-1.06885043
NR1D2	5.61E-05	-0.78965119
RTCB	5.89E-05	-0.8170719
CCL20	6.20E-05	1.46567957
PLA2G2A	6.63E-05	0.74747127
ODAM	6.94E-05	-0.90407281
EIF5B	7.05E-05	-1.2105403
RXRA	7.08E-05	-1.59071454
IGFBP7	7.10E-05	-0.9169811
CPED1	7.93E-05	0.74820008
SULT1A4	7.95E-05	0.89792368
HMGB2	8.20E-05	-0.89087881
HIC2	9.98E-05	-0.89635377
APOBEC3B	1.19E-04	-1.06107035
SRSF11	1.23E-04	-0.94986002
EGLN3	1.38E-04	0.66495729
AKR1C1	1.43E-04	0.87288382
HMMR	1.46E-04	-0.86812399
DUT	1.62E-04	-0.7454863
EIF3D	1.77E-04	-0.69990236
PTPRO	1.79E-04	-0.93114966
PI4KAP1	1.81E-04	-0.86776436
FST	1.86E-04	0.66358724
NXN	1.88E-04	-0.66856856
NUP43	1.91E-04	-0.67122176
RNH1	1.99E-04	-0.72652793
ST6GAL1	2.20E-04	0.82976047
NFKBIA	2.24E-04	-0.7988538
MYH10	2.27E-04	-0.67475849
ABAT	2.36E-04	-0.77998968
AKR1C1	2.40E-04	0.84610139
LASP1	2.47E-04	-0.72836575
AKR1C2	2.51E-04	0.79127272
FGB	2.53E-04	0.60830444
TST	2.55E-04	-0.91608566
CYB5R3	2.57E-04	-0.69388021
NA	2.57E-04	0.87689159
VAMP4	2.83E-04	-0.63739922
ATP5G3	2.89E-04	0.66781743
DNMT1	2.98E-04	-0.71033758
CDC20	3.01E-04	-0.66771572
SRRM2	3.05E-04	-0.76460752
GABARAPL3	3.12E-04	-0.89791447
TPR	3.14E-04	-1.51020782
RS1	3.14E-04	0.72039843
RABL2A	3.16E-04	-0.7288635
LRRC40	3.24E-04	-0.84950032
NA	3.27E-04	1.27175262
CAMK2N1	3.28E-04	-0.75668121
GART	3.32E-04	0.64424671
H2AFZ	3.38E-04	-0.60052078
SULT1A1	3.66E-04	0.67319666
ST6GAL1	3.66E-04	0.9099687
HOXD1	3.83E-04	0.64016449
SERINC3	3.87E-04	-0.67948411
HNRNPH1	3.89E-04	-0.81471956
SLC39A8	4.04E-04	0.59857962
EIF1AX	4.09E-04	-0.71505668
UBE2E1	4.11E-04	-0.824218
SULT1A2	4.12E-04	0.70836338
GLG1	4.36E-04	-0.72530569
HMGB1	4.43E-04	-0.72291551
ZNF410	4.46E-04	-0.64946245
NA	4.46E-04	1.41836888
MAGEA3	4.51E-04	-0.62116707
KIAA0101	4.56E-04	-0.68084396
AKR1C2	4.57E-04	0.8040364
TTR	4.98E-04	0.74984893
YTHDF1	5.03E-04	-0.54197844
ANKRD1	5.07E-04	-0.90493931
TAX1BP3	5.08E-04	-0.93065398
PTP4A1	5.10E-04	-0.72796146
MYH9	5.26E-04	-0.8940279
ABAT	5.28E-04	-0.58588092
TNPO1	5.28E-04	-0.55051132
ELK3	5.35E-04	-0.63425359
