#Gene	P.Value	logFC
STAT1	0.00000128	-1.854872
GARS	0.00000283	-0.941313
PPT1	0.00000313	-0.959614
STAT1	0.00000385	-1.152207
YWHAB	0.00000407	-1.060956
GNA15	0.00000499	-0.861064
C19orf57	0.00000592	1.924719
ATP1B3	0.00001157	-0.986918
MAP3K5	0.00001336	-1.194267
SECTM1	0.00001736	-1.216909
GSTO1	0.00002009	-0.772804
MYL6B	0.0000207	-1.70178
NA	0.00002102	-1.113822
FCGR1A	0.00002193	-1.933664
CD40LG	0.00002209	0.66027
ACPP	0.00002302	-0.965144
EIF4A1	0.00002671	-1.836017
TNIP1	0.00002711	-0.9293
NDUFA4	0.00002751	-0.576469
ABCA3	0.000039	-1.1796
POP1	0.00003989	0.536193
RHOG	0.00004516	-0.812047
RAE1	0.00004675	-0.587153
GALC	0.00004797	-0.803978
CNP	0.00005116	-0.577138
WT1-AS	0.00005117	-1.643531
CREB1	0.00005539	0.782816
ZFP36	0.0000576	-1.174031
NA	0.00005847	-0.888314
GLUL	0.00005878	-1.097794
TCEB1	0.00006055	-0.594898
BLVRA	0.0000679	-1.055183
IDS	0.00007032	-0.726502
JUND	0.00007251	-0.698401
DPYSL2	0.00007342	-0.997632
DRD4	0.00007877	-1.340113
LGALS3	0.00007922	-1.086172
GRN	0.00008286	-0.941665
ITGAX	0.00008555	-0.715637
PGAM1	0.00009371	-0.694474
SQSTM1	0.00009739	-0.634047
ARPC2	0.00009865	-0.645863
CAPG	0.00010831	-0.91584
TMEM11	0.00010851	-1.221498
UBC	0.00011237	-0.695166
HDHD1	0.00011997	-1.0986
HBQ1	0.00012478	-2.777144
CD58	0.00013036	-0.984642
P4HB	0.00013269	-0.517488
TNFRSF1B	0.00013589	-0.877648
DDX21	0.00014955	-1.345064
MYD88	0.0001564	-0.719547
CD63	0.00015872	-0.977036
H3F3AP4	0.00015984	-0.5425
VDR	0.00016933	-1.330466
NA	0.00017143	-1.028993
MARCKS	0.00018279	-1.257559
HSD17B10	0.00019117	-0.708993
S100A13	0.00019304	-2.047373
NCOA1	0.00019667	-1.431646
IRAK1	0.00019783	-0.634588
IMPDH1	0.0002031	-0.559121
GUK1	0.00022523	-0.803865
DMC1	0.00023824	2.158691
