#Gene	P.Value	logFC
SH3GL3	7.41E-16	2.639875
ZNF528	2.54E-15	1.893274
SGCD	8.08E-15	0.953113
RAN	1.56E-14	-2.050333
EIF2AK1	1.79E-14	-1.608669
NPAT	2.27E-14	1.435907
TCTN2	3.63E-14	2.623171
CDC5L	7.42E-14	2.776695
DDX39B	1.05E-13	-1.504
SEC31A	1.24E-13	-1.250311
NA	1.84E-13	1.982608
LOC100288069	2.75E-13	1.757218
NA	2.78E-13	2.744633
TMEM189-UBE2V1	3.58E-13	-1.435928
HNRNPA2B1	4.65E-13	-1.820288
SP100	4.74E-13	1.085069
ARF1	5.02E-13	-1.497559
SRSF3	5.68E-13	-1.327646
MEFV	6.33E-13	2.503221
CCT8	6.34E-13	-1.942483
SLC25A30	6.91E-13	0.915222
HNRNPU	7.05E-13	-1.354968
HNRNPA1	7.32E-13	-1.433363
PDIA3	7.35E-13	-1.809714
EPPIN	7.53E-13	1.528274
RECK	7.80E-13	2.286109
KPNB1	8.60E-13	-1.77643
PTGES3	8.78E-13	-1.338345
SNW1	9.42E-13	1.453553
DNAH3	1.01E-12	2.251074
CCT3	1.01E-12	-1.949005
SNCA	1.18E-12	0.992841
ATP7B	1.34E-12	1.09652
GNL3	1.65E-12	-2.091482
TP53TG3B	1.91E-12	1.395017
NA	1.96E-12	1.894527
PTCH1	2.59E-12	1.109554
SRSF9	2.65E-12	-1.180964
NA	2.80E-12	1.318614
MIER2	2.84E-12	1.209624
SFPQ	3.14E-12	-1.624345
PNO1	3.27E-12	2.433571
NA	3.38E-12	1.088447
NA	3.39E-12	2.698664
PPM1E	3.43E-12	1.213574
CBLN1	3.53E-12	1.168413
SF3B2	3.68E-12	-0.954639
SRSF1	3.92E-12	-1.138164
PTBP1	3.95E-12	-1.426752
CYP2B6	4.01E-12	1.447776
EIF6	4.05E-12	-1.472156
PPIB	4.16E-12	-2.104273
PDIA6	4.27E-12	-1.577276
SERBP1	4.48E-12	-1.749169
ZNF287	4.49E-12	1.156442
OPHN1	4.70E-12	2.408593
RPN1	4.86E-12	-1.418351
GPR63	4.87E-12	1.015696
PDE1C	5.24E-12	1.124932
CYP2B7P	5.24E-12	1.383775
ZMAT4	5.27E-12	1.15319
CHODL	5.28E-12	1.218786
PDIA6	5.38E-12	-1.535552
NA	5.45E-12	1.229937
EPOR	6.10E-12	1.749768
SCD5	6.39E-12	2.581462
EWSR1	6.58E-12	-1.037091
LRRFIP1	6.62E-12	-1.654157
NA	6.72E-12	0.893287
SUMO2	7.50E-12	-1.773643
ERGIC3	7.79E-12	-1.586654
SFPQ	7.88E-12	-1.172522
SPN	8.16E-12	1.75287
SLC38A1	8.50E-12	-1.954053
PCSK6	8.91E-12	1.014704
