#Gene	P.Value	logFC
ERAP1	0.00000929	-1.42
VAMP2	0.00001407	8.91E-01
VAMP2	0.00002603	8.52E-01
NR1D1	0.00003489	8.80E-01
NA	0.00003702	4.87E-01
ATN1	0.00003787	7.47E-01
NONO	0.00005551	-7.26E-01
HSPA9	0.0000584	-7.94E-01
HMGB1	0.00006801	-8.66E-01
MUC5AC	0.00007521	6.51E-01
SAFB	0.0000835	-5.98E-01
MTF1	0.00008395	7.53E-01
LOC100510678	0.00009606	-5.27E-01
ATP5G2	0.00010614	-6.45E-01
FOXN3	0.00011487	5.70E-01
SKIV2L2	0.0001209	-4.56E-01
BCL3	0.00012321	1.1
ATPIF1	0.00012386	-6.17E-01
DDOST	0.00012453	-7.45E-01
TRIM3	0.00012581	4.70E-01
NA	0.00012873	5.28E-01
LLGL1	0.00013931	5.61E-01
COL9A2	0.00014083	5.26E-01
MUC3A	0.00014304	8.20E-01
TMED2	0.00014449	-9.81E-01
MINK1	0.00014461	8.29E-01
SAP18	0.00014886	-4.36E-01
MKL1	0.00014932	4.57E-01
GSK3A	0.00015941	5.26E-01
ARL6IP1	0.00016401	-5.07E-01
NA	0.0001684	4.63E-01
RNASEH2B	0.0001685	6.59E-01
PRKAR1A	0.00017953	-6.67E-01
MYO10	0.00018372	-4.73E-01
CANX	0.00018734	-7.91E-01
MATN1	0.00019464	4.19E-01
YME1L1	0.00020464	-6.31E-01
GSTM5	0.00021162	4.65E-01
ATN1	0.00021472	5.93E-01
OXA1L	0.00021652	-4.68E-01
LARP1	0.00021726	6.10E-01
PQBP1	0.00022249	-4.84E-01
ATP2B3	0.00023105	4.28E-01
STARD7	0.0002353	-5.24E-01
EIF3E	0.00023539	-5.93E-01
DMXL2	0.0002392	4.75E-01
SMARCA5	0.00024289	-8.23E-01
AUNIP	0.00024399	4.69E-01
COX5B	0.000254	-5.99E-01
SPCS2P4	0.00026414	-4.53E-01
LY6G5C	0.00027332	4.17E-01
PAPOLA	0.00027555	-9.07E-01
MAP3K7	0.00028493	-5.35E-01
NA	0.00029594	5.15E-01
