#Gene	P.Value	logFC
CCK	7.59E-09	-1.177045455
CST1	1.12E-08	-3.434015152
CTSC	2.74E-08	-0.763611111
CTSG	8.16E-08	-1.257272727
CPA3	2.89E-07	-1.643939394
ANO1	5.28E-07	-0.746515152
NTRK2	1.43E-06	-1.044545455
ALOX15	1.59E-06	-1.077777778
NPTN	2.09E-06	-0.380606061
GSN	2.16E-06	-0.634494949
CXCR6	4.50E-06	0.822020202
TMIGD2	4.94E-06	0.860883838
TPSD1	7.04E-06	-1.37239899
TPSAB1	1.03E-05	-1.371868687
VWF	1.16E-05	-0.768232323
ITLN1	1.22E-05	-2.263686869
ALOX15	1.32E-05	-1.017979798
NA	1.45E-05	0.994671717
ASAP3	1.63E-05	-0.307676768
NA	2.11E-05	-0.676060606
SLC16A9	2.11E-05	-0.485050505
GJB4	2.41E-05	-0.524318182
CTSC	2.42E-05	-0.519671717
MAP3K4	2.50E-05	-0.347070707
CD55	2.63E-05	-0.522878788
HLA-DMB	3.04E-05	0.654217172
ST6GAL1	3.17E-05	-0.438964646
KLRB1	3.28E-05	0.86739899
EPHA4	3.42E-05	-0.578964646
CDH26	3.52E-05	-1.02020202
CEACAM5	3.78E-05	-0.554545455
NOX1	3.84E-05	0.555126263
CASP4	4.49E-05	0.214974747
HOMER2	4.58E-05	-0.456161616
KIF4A	4.76E-05	0.42739899
NEU1	5.10E-05	-0.189722222
SERPINB2	5.18E-05	-0.759570707
RMRP	5.77E-05	-0.800732323
CD6	6.34E-05	0.591136364
SLC2A1	6.43E-05	-0.309646465
CCL5	6.84E-05	0.828308081
NA	6.99E-05	0.740353535
MAOA	7.30E-05	-0.472222222
HLA-DOA	7.34E-05	0.974141414
CD74	7.48E-05	0.610631313
XLOC_002078	7.84E-05	-0.218939394
GSN	8.28E-05	-0.573156566
KAZALD1	8.40E-05	-0.537045455
SCARNA5	9.98E-05	-0.923282828
CAPN14	0.000103689	-1.084873737
NOX1	0.000115204	0.683989899
ELOVL5	0.000115492	-0.426893939
HLA-DPB1	0.000123474	0.752424242
CD8A	0.000124598	0.754646465
EFCAB11	0.000125012	0.337020202
RTN4R	0.000127852	-0.32989899
CX3CR1	0.000133603	0.54770202
ZNF831	0.000135458	0.474747475
ACVRL1	0.000136192	0.509494949
BDKRB1	0.000136408	-0.370934343
TMEM160	0.000136642	-0.400227273
GPR172A	0.000149568	-0.233409091
GGH	0.000150531	-0.37790404
PLEC	0.0001514	-0.324166667
TK1	0.000155379	0.500959596
HLA-DPB1	0.000155418	0.776717172
SNTG2	0.000155579	-0.440782828
NDC80	0.000158526	0.325656566
CD3G	0.000160383	0.563661616
SLC40A1	0.000161736	0.547954545
