#Gene	P.Value	logFC
MTIF2	1.40E-07	0.94758414
ACSM3	2.17E-07	1.02285145
SF3B1	2.81E-07	0.96635541
CEBPZ	5.26E-07	0.94414288
AAMDC	7.72E-07	0.83489866
ACYP1	8.37E-07	0.88177255
SCFD1	1.26E-06	1.00853768
ECI2	1.48E-06	0.78932998
SYF2	1.75E-06	0.79552265
HENMT1	1.99E-06	0.62568957
DPH5	2.18E-06	0.79312045
SNX2	2.19E-06	0.85633029
MRPS9	2.27E-06	0.93358173
METAP1	2.69E-06	0.51598151
THOC1	2.86E-06	1.04495216
NA	3.04E-06	0.82370205
NEMF	3.20E-06	1.20316212
HIBCH	3.30E-06	0.97113518
PSMC2	3.59E-06	0.88114784
DAP3	3.79E-06	0.69142723
IK	4.12E-06	0.82789332
TRIP4	4.45E-06	0.76163913
MRPS31	5.06E-06	0.7464294
UPF3B	5.62E-06	0.88079071
CLUAP1	5.67E-06	0.65747283
SHFM1	5.85E-06	0.70488293
ATP5J	6.08E-06	0.60048024
RPL14	6.26E-06	1.4429695
RPL23A	7.11E-06	0.73511585
PNISR	7.24E-06	1.17688778
CEP70	7.57E-06	0.85107655
CHCHD7	8.09E-06	0.84408462
ZRANB2	8.10E-06	0.73692737
UGP2	8.57E-06	0.78919943
U2SURP	9.16E-06	0.86059569
LARP7	9.20E-06	1.33744299
KIAA0020	9.98E-06	1.01250007
METAP2	1.06E-05	0.78954838
MRRF	1.10E-05	0.58208484
NOSTRIN	1.12E-05	0.93610796
C11orf74	1.17E-05	0.81297627
TIMM17B	1.21E-05	-0.55395801
ZNF146	1.32E-05	0.88573432
C9orf85	1.55E-05	0.83200456
NA	1.57E-05	0.73454797
ZNF480	1.70E-05	0.74951404
DECR1	1.72E-05	0.66540928
MITD1	1.77E-05	0.67238613
RPAIN	1.77E-05	0.72266771
LRRCC1	1.80E-05	0.94503294
SYF2	1.93E-05	0.58875054
ANKMY2	2.31E-05	0.83026858
NA	2.56E-05	0.60644364
TRIAP1	2.57E-05	0.48969164
GTF2F2	2.63E-05	0.64096214
PIGT	2.64E-05	-0.65830632
NARS	2.68E-05	0.57281015
SNRPB2	2.76E-05	0.68713486
DDIT3	2.77E-05	0.81576229
CCNL1	3.08E-05	0.92986657
VPS41	3.12E-05	0.61724863
TNFSF10	3.18E-05	1.11830628
RNF167	3.27E-05	-0.72378374
USP16	3.70E-05	1.02515169
NME7	3.77E-05	0.78402514
GNL2	3.90E-05	0.58144181
